Version 1.7 (07.12.21),Discussion groupe & AIDE,,PROXIMITE,,Pathologies cardio vasculaires,,,,,,,,,,,,Pathologies digestives,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathologies infectieuses,,Pathologies rhumatologiques + systémique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathologies neurologiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathologies gynécologiques,,,,,,,,,,,,Pathologies uro et néphrologiques,,,,
,Groupement,Symptômes/maladies,possible,proche,AVC,Angor stable,Infarctus du myocarde,Artériopathie oblitérante des membres inférieurs,Thrombose veineuse profonde,Péricardite aigüe,Péricardite chronique,Dissection de l'aorte thoracique,Insuffisance ventriculaire gauche,Insuffisance ventriculaire droite,Syndrome des loges,Embolie pulmonaire,Gastrite chronique,Ulcère gastro-duodénal,Reflux gastro-œesophagien,Cancer du foie,Cancer du pancréas,Maladie des spasmes diffus,Syndrome du péristaltisme douloureux ,Cancer de l'œsophage,Pancréatite chronique,Pancréatite aigue,Cirrhose,Appendicite,Cancer côlo-rectal,Cholecystite aiguë,Hépatite virale,Colopathie fonctionnelle,Diverticulite,Oesophagite,Ischémie mésentérique chronique,Ischémie mésentérique aiguë,Rectocolite hemorragique,Maladie de Crohn,Appendicite,Syndrome occlusif,Gastro-entérite,Maladie de Whipple,Maladie coeliaque,Cancer de l'estomac,Tuberculose,Méningite,Maladie de Haglund,Syndrome du sinus du tarse,Conflit talien postérieur,Conflit talien antérieur,Maladie de Freiberg,Maladie de Sever,Arthrite idiopathique juvénile,Épiphysiolyse de hanche,Arthrite septique localisée au genou,Arthrite septique localisée à la hanche,Rhume de hanche,Maladie de Legg-Calvé-Perthes,Maladie de Sinding Larsen,Maladie d'Osgood Schlatter,Kyste poplité,Maladie de Lyme,Sarcoïdose,Sclérodermie,Lupus érythémateux disséminé,Maladie de Horton,Maladie de Behçet,Maladie de Gougerot Sjögren,Polymyosite,Tendinopathie du supra-épineux,Tendinopathie du moyen fessier,Syndrome de l'essuie-glace,Tendinopathie des fibulaires,Tendinopathie des épicondyliens médiaux,Tendinopathie des épicondyliens latéraux,Tendinopathie de la patte d'oie,Tendinopathie quadricipitale distale,Tendinopathie quadricipitale proximale,Lésion labrale de l'épaule,Lésion labrale de la hanche,Lésion méniscale du genou,Syndrome de Cyriax,Syndrome de Tietze,Maladie de Scheuermann,Maladie de Paget,Ostéoporose pathologique,Ostéomalacie,Spondylolisthésis,Spondylodiscite,Maladie de König,Pseudo polyarthrite rhizomélique ,Rhumatisme apatitique,Goutte,Capsulite rétractile,Syndrome douloureux régional complexe,Tumeur osseuse ou articulaire maligne,Tumeur osseuse ou articulaire bénigne,Fracture carpienne,Fracture métatarsienne,Fracture du plateau tibial,Fracture du col fémoral,Ostéonécrose aseptique de la tête fémorale,Chondrocalcinose,Polyarthrite rhumatoïde ,Maladie de Forestier,Rhumatisme articulaire aigu (RAA),Arthrite réactionnelle post-streptocoque A (ARPS),Syndrome Fiessinger-Leroy-Reiter,Rhumatisme psoriasique,Spondylarthrite ankylosante,Processus expansif intracrânien,Sinusite aiguë,Adénome hypophysaire,Glaucome aigu,Poussée d'hypertension artérielle,Algie vasculaire de la face,Migraine,Céphalée de tension,Névralgie trigéminale,Névralgie occipitale,Syndrome du canal carpien,Lésion radiculaire S1,Lésion radiculaire L5,Lésion radiculaire C7,Lésion radiculaire C6,Lésion radiculaire C5,Syndrome de Wartenberg,Syndrome de la loge de Guyon,Syndrome du tunnel radial,Syndrome de la traversée thoraco-brachiale,Syndrome canalaire du nerf sciatique,Syndrome canalaire du nerf fibulaire commun,Syndrome canalaire du nerf cutané latéral de la cuisse,Syndrome canalaire du nerf fémoral,Syndrome canalaire du nerf obturateur,Syndrome canalaire du nerf pudendal,Syndrome canalaire du nerf ilio-inguinal,Syndrome canalaire du nerf tibial,Syndrome des jambes sans repos,Polyneuropathie paranéoplasique (Denny-Brown),Polyneuropathie du diabétique,Maladie de Charcot-Marie-Tooth,Myasthénie,Syndrome de Guillain Barré,Zona costal,Processus compressif médullaire/radiculaire lombaire,Processus compressif médullaire thoracique,Processus compressif médullaire cervical,Infarctus médullaire,Myélite transverse,Sclérose en plaques,Maladie de Ménière,Névrite vestibulaire,VPPB,Labyrinthite,Otospongiose,Fistule péri-lymphatique,Schwanome du VIII,Affection ototoxique,Grossesse extra utérine,Salpingite,Cancer des ovaires,Cancer col de l’utérus,Fibrome utérin,Torsion testiculaire,Cancer testiculaire,Prostatite chronique,Prostatite aiguë,Hypertrophie bénigne de la prostate,Cancer de la prostate,Cancer de la vessie,Pyélonéphrite aiguë,Cystite,Colique néphrétique,Cancer du rein,Glomérulonéphrite aiguë
,Motif :,douleur face médiale de coude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face latérale de poignet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face médiale du poignet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face antérieure de poignet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur diffuse au poignet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur diffuse à la cheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,10,20,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur sur la face supérieure du pied/cheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,douleur face latérale de cheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face postérieure de pied/cheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face médiale de cuisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,face antérieure de cuisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face postérieure de cuisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur inguinale / face antérieure de hanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,100,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face latérale de hanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur périnéale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face postérieure de genou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face antérieure de genou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,100,100,,,,,,,,,,,,,,,,,100,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face latérale de genou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face médiale de genou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,70,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur diffuse de genou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,15,100,,,15,,,,80,70,,,,20,,,,,,,,,,,,,,,,,,,,,,,90,,,30,,,,,,,,,,60,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur dans les membres inférieurs,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur localisée face postérieure de jambe,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleurs aux extrémités supérieures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleurs aux extrémités inférieures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur mono articulaire périphérique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleurs abdominales,,,,,,,,,,,,50,,,80,80,,80,40,,,,,100,,100,20,2,,100,,,,,,,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,80,100,100,90,90,,,,,100,20,,100
,Motif :,douleur à l'hypochondre gauche/épigastre,,,,,,,,,,,,,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur à l'hypochondre droit,,,,,,,,,,,,20,,,,,,20,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleurs articulaires aux membres supérieurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleurs articulaires aux racines des membres inférieurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleurs articulaires aux racines des membres supérieurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,dyspnée,,,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,palpitations,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur au niveau du bras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face dorsale du pied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face antéro-latéral de la jambe,,,,,,,20,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face antéro-latéral de la cuisse ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face plantaire du pied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,10,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face postérieure de la fesse/cuisse/jambe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face postérieure de l'avant bras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face dorsale de la main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face palmaire de la main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,30,,,100,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur face antérieure de l'avant bras,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur dans les deux membres inférieurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,100,100,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur dans les deux membres supérieurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,30,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,douleur dans un ou deux membres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,100,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
,Motif :,troubles urinaires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
,Motif :,vertige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,100,100,100,,,100,100,100,,,,,,,,,,,,,,,,,
,Motif :,acouphènes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,
,Motif :,syndrome grippal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activité physique :,oui,,,,25,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,80,,60,,,,,,,100,100,,,,,,,,,,,,90,50,50,50,90,90,90,,,60,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activité physique :,non,,,,75,75,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,50,50,50,10,10,10,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FDR cardio-vasculaires :,oui,,,3,4,4,9,3,,,8,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FDR cardio-vasculaires :,non,,,2,1,1,1,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apparition des symptômes :,aigu (<2 semaines),,,100,,100,,100,100,,100,,,100,100,,,,,,,,,,100,,100,,100,100,,,,,,,,100,100,100,,,,,100,,,,,,,,100,100,100,100,70,20,20,100,10,30,,,,,,,,,30,30,30,30,30,30,30,,,100,70,70,,,,,,,90,,,90,10,,,,,,,70,,,,,90,90,70,,,,100,10,100,,,,,,,,30,30,30,30,30,30,,,,,,,,,,,,,,,,,100,100,,,,100,100,,,100,,100,,20,,100,30,100,,,,100,,,100,,,,100,100,100,,100
,Apparition des symptômes :,chronique (>2 mois),,,,70,,70,,,15,,100,100,,,100,80,80,100,100,,,,,,,,90,,,,,,,,,,,,,90,100,100,,,100,100,100,100,70,,,,,,,,10,10,100,30,10,100,100,40,80,90,90,,,30,30,30,30,30,30,30,,,100,,,,,,,,,,100,,,10,,,,,,,,100,100,100,100,,,,100,100,80,,80,,80,50,100,100,80,80,80,30,30,30,30,30,30,90,50,50,50,50,50,50,50,50,50,50,100,,,100,100,,,90,90,90,,,100,80,,80,,,,80,,,,,100,80,,100,100,,100,100,,,,,80,
,Apparition des symptômes :,subaigu (2 à 6 semaines),,,,30,,30,,,85,,,,,,,20,20,,,,,,,,,,10,,,,,,,,,,,,,10,,,,,,100,100,100,30,100,100,,,,,30,70,70,100,60,60,,,60,20,10,10,,,30,30,40,40,40,40,40,,,100,30,30,,,,,,,10,,,10,80,,,,,,,30,,,80,,10,10,30,80,80,20,,20,,20,50,,,20,20,20,30,30,30,30,30,30,10,50,50,50,50,50,50,50,50,50,50,,,,,,,,10,10,10,,,,20,,20,,,10,20,,70,,,,20,,,,,,,,,,,20,
